"u","G","H","Points:0","Points:1","Points:2"
-4.9842,-188.26,188.26,2.914,-1.778,-0.332
-6.8502,-263.17,263.17,4.114,-1.431,-0.487
-7.012,-270.99,270.99,3.844,-0.995,-1.318
-5.1375,-196.86,196.86,2.669,-1.383,-1.088
-6.9088,-264.95,264.95,3.55,-0.682,-1.659
-6.7837,-264.28,264.28,3.44,-0.625,-1.754
-5.0938,-195.75,195.75,2.577,-1.334,-1.168
-6.8158,-275.12,275.12,3.326,-0.605,-2.284
-7.0948,-275.91,275.91,2.373,0.074,-2.424
-5.0501,-187.08,187.08,1.71,-0.716,-1.295
-6.9441,-252.97,252.97,1.963,0.243,-1.608
-8.4685,-309.1,309.1,2.764,1.993,-2.625
-7.8104,-281.59,281.59,2.355,2.163,-1.809
-8.346,-316.47,316.47,3.084,3.172,-2.709
-8.0038,-308.94,308.94,3.253,3.647,-2.039
-7.4775,-271.81,271.81,2.524,2.638,-1.139
-7.695,-289.51,289.51,3.31,3.113,-1.249
-7.3794,-280.79,280.79,3.317,3.181,-0.902
-7.2312,-263.87,263.87,2.531,2.706,-0.792
-5.7371,-212.84,212.84,2.248,3.125,-0.078
-5.3401,-195.64,195.64,1.306,2.648,-0.094
-6.5817,-240.09,240.09,1.495,2.182,-0.81
-5.9594,-213.64,213.64,1.351,2.311,-0.3
-6.4031,-264.13,264.13,4.084,3.217,0.193
-4.6342,-190.79,190.79,2.945,3.158,0.918
-4.8865,-202.79,202.79,3.243,2.899,0.867
-2.4046,-134.04,134.04,2.007,2.191,2.183
-2.5759,-137.42,137.42,1.874,2.544,2.057
-2.1184,-115.97,115.97,1.653,1.706,2.704
-2.1557,-116.38,116.38,1.194,1.716,2.56
-2.62,-137.14,137.14,1.414,2.554,1.914
-2.377,-126.55,126.55,1.092,1.858,2.203
-2.5074,-137.51,137.51,2.631,1.837,2.347
-2.164,-117.9,117.9,2.194,1.4,2.845
-2.7112,-142.46,142.46,2.998,1.701,2.41
-3.4261,-156.01,156.01,3.37,0.622,2.349
-2.6489,-127.67,127.67,2.565,0.321,2.785
-4.1164,-170.96,170.96,3.089,-0.593,2.569
-5.0453,-198.14,198.14,4.033,0.386,1.673
-5.6921,-208.59,208.59,3.819,-0.853,1.825
